종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"060310","3S","KOSDAQ","중견기업부",,"032602","전자부품 제조업","03",,"46271513","500","23135756500","원(KRW)","김세완","02-896-9474","서울특별시 금천구 가산디지털1로 75-24 1310호"
"095570","AJ네트웍스","KOSPI",,,"147603","산업용 기계 및 장비 임대업","12",,"46822295","1000","46822295000","원(KRW)","박대현","02-6363-9999","서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)"
"006840","AK홀딩스","KOSPI",,,"116409","기타 금융업","12",,"13247561","5000","66237805000","원(KRW)","채형석, 이석주(각자 대표이사)","02-768-2923","서울특별시 마포구 양화로 188 - "
"054620","APS홀딩스","KOSDAQ","중견기업부",,"116409","기타 금융업","12",,"20394221","500","10197110500","원(KRW)","정기로","031-776-1800","경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면)"
"265520","AP시스템","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"15281421","500","7640710500","원(KRW)","김영주","031-379-2700","경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp"
"211270","AP위성","KOSDAQ","벤처기업부",,"032604","통신 및 방송 장비 제조업","12",,"15082304","500","7541152000","원(KRW)","류장수","02-2026-7800","서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp"
"027410","BGF","KOSPI",,,"116409","기타 금융업","12",,"95716791","1000","95716791000",,"홍정국","1577-3663","서울특별시 강남구 테헤란로 405 "
"282330","BGF리테일","KOSPI",,,"074701","종합 소매업","12",,"17283906","1000","17283906000","원(KRW)","이건준","02-1577-8007","서울특별시 강남구 테헤란로 405 BGF사옥"
"032790","BNGT","KOSDAQ","관리종목(소속부없음)",,"074605","기계장비 및 관련 물품 도매업","12",,"29534345","500","14767172500","원(KRW)","조상환","02-3412-8777","서울특별시 서초구 효령로 83 엠젠플러스빌딩 (방배동)"
"138930","BNK금융지주","KOSPI",,,"116409","기타 금융업","12",,"325935246","5000","1629676230000","원(KRW)","김지완","051-620-3023","부산광역시 남구 문현금융로 30(문현동) "
"001460","BYC","KOSPI",,,"031401","봉제의복 제조업","12",,"624615","5000","4200000000","원(KRW)","김 대 환","02-840-3172","서울특별시 영등포구 도림천로21길 3 "
"013720","CBI","KOSDAQ","중견기업부",,"033003","자동차 신품 부품 제조업","12",,"55837092","100","5583709200","원(KRW)","오경원","032 -816 -3550","인천광역시 남동구  남동대로 208 "
"001040","CJ","KOSPI",,,"116409","기타 금융업","12",,"29176998","5000","179047370000","원(KRW)","손경식, 김홍기","02-726-8114","서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER) "
"079160","CJ CGV","KOSPI",,,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"40808126","500","20404063000","원(KRW)","허민회","02-371-6660","서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동) "
"035760","CJ ENM","KOSDAQ","우량기업부",,"106002","텔레비전 방송업","12",,"21929154","5000","110577370000","원(KRW)","Minho Hou, Ho Sung Kang","02-2107-0114","서울특별시 서초구  과천대로 870-13 "
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"5873672","500","2936836000","원(KRW)","천종식","02-6078-3456","서울특별시 중구 세종대로 14 그랜드센트럴타워 B동 7층 "
"000120","CJ대한통운","KOSPI",,,"084903","도로 화물 운송업","12",,"22812344","5000","114061720000","원(KRW)","강신호","02-3782-0114","서울특별시 중구  세종대로9길 53 "
